Subgroup,Phase,Mean,Range,X_LCL,Center,X_UCL,R_Center,R_LCL,R_UCL,Limits_Source,X_Rules,R_Rules
1,reference,19.99872748211477,0.13196637326743854,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
2,reference,19.944369552477248,0.15830437253883645,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
3,reference,19.99700698006502,0.11369444270759033,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
4,reference,20.029726484169235,0.17192409297533828,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
5,reference,19.956544537605897,0.13160405427412059,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
6,reference,19.9423045720613,0.07020406813365199,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
7,reference,19.992757310705723,0.10698676079356417,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
8,reference,19.973571630531975,0.1635745467723666,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
9,reference,20.016851047012175,0.07093122440417332,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
10,reference,20.006935044359587,0.12605943542776998,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
11,reference,20.001236035397657,0.09201601123961467,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
12,reference,20.01217784371186,0.07213219631346846,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
13,reference,20.025418531763915,0.10443996464809402,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
14,reference,19.982264460075573,0.18546150954149354,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
15,reference,20.001890788063953,0.11855953304472422,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
16,reference,20.011332502004276,0.13980009095152823,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
17,reference,19.991875075301984,0.08955147504354954,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
18,reference,20.01287051331272,0.18714467369817456,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
19,reference,19.979927591801378,0.09333856996664025,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
20,reference,20.022797431064827,0.0673867024081396,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
21,reference,19.999592056000804,0.07611740538153455,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
22,reference,19.96900810751017,0.13516850223977528,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
23,reference,19.98049654401068,0.09191733811786307,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
24,reference,20.020527681454652,0.12823106066977275,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
25,reference,20.007000407995424,0.05865679688754,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
26,reference,19.987530513163346,0.07216016126203328,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,,
