Subgroup,Phase,Mean,Range,X_LCL,Center,X_UCL,R_Center,R_LCL,R_UCL,Limits_Source,X_Rules,R_Rules
41,setup_shift,20.282412206107136,0.1791166716542385,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,T1,
42,setup_shift,20.254688479430918,0.10560004857410732,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,T1,
43,setup_shift,20.28603427163058,0.04064049304204076,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
44,setup_shift,20.269643318969525,0.12095170529139665,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
45,setup_shift,20.285961110377606,0.09871871566043922,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
46,setup_shift,20.23694099131269,0.07817244407002022,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
47,setup_shift,20.263300523013594,0.1063096209570773,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
48,setup_shift,20.302845261524133,0.040007179098946466,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
49,setup_shift,20.262206712514377,0.13345332223522277,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
50,setup_shift,20.259146664308098,0.027371869162074347,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
51,setup_shift,20.259299306455908,0.13892849798424223,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
52,setup_shift,20.24676107822195,0.13674300865976363,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
53,setup_shift,20.288329083322743,0.09210707897686277,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
54,setup_shift,20.248561021824905,0.06771027646841787,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
55,setup_shift,20.279026540018638,0.10122508377494199,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
56,setup_shift,20.268133233729866,0.07969016718442035,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
57,setup_shift,20.226863965216875,0.19237814401129683,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
58,setup_shift,20.265996542780094,0.07171195188515256,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
59,setup_shift,20.255184136759887,0.1380284052652705,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
60,setup_shift,20.24799720466344,0.08831724468308977,19.93582479179539,19.999044996679437,20.062265201563484,0.10960474520450995,0.0,0.23170443136233404,reference limits,"T1,T2",
122,verification,20.039251012046325,0.07553918793188785,19.937590824987627,19.999089231622072,20.060587638256518,0.10661966695638299,0.0,0.22539397594579363,frozen new limits,T3,
