Analysis,Metric,Python
GRR,repeatability_var,8.151092493831687e-05
GRR,operator_var,1.3698632744817293e-05
GRR,interaction_var,0.0
GRR,part_var,0.011317424554901832
GRR,grr_var,9.520955768313416e-05
GRR,grr_sd,0.009757538505336998
GRR,percent_study_variation,9.133712278184088
GRR,percent_tolerance,9.757538505336997
GRR,ndc,15.0
ANOVA,F,55871.82089725134
ANOVA,p,0.0
ANOVA,DF_between,3.0
ANOVA,DF_within,19996.0
reference,mean,19.999044996679437
reference,within_sd,0.04712155855739895
reference,overall_sd,0.04700851613092156
reference,Cp,2.122170892929822
reference,Cpk,2.1154152920979903
reference,Pp,2.127274124575517
reference,Ppk,2.1205022783997944
rebaseline,mean,19.99908923162207
rebaseline,within_sd,0.045838205914180134
rebaseline,overall_sd,0.04491498085297871
rebaseline,Cp,2.1815862555184573
rebaseline,Cpk,2.1749631896009385
rebaseline,Pp,2.226428645875029
rebaseline,Ppk,2.2196694431870845
verification,mean,20.0001559805311
verification,within_sd,0.04624160618261474
verification,overall_sd,0.0437184324431405
verification,Cp,2.1625546397563675
verification,Cpk,2.161430251685553
verification,Pp,2.287364720362713
verification,Ppk,2.2861754391497
reference_limits,center,19.999044996679437
reference_limits,rbar,0.10960474520450995
reference_limits,x_lcl,19.93582479179539
reference_limits,x_ucl,20.062265201563484
reference_limits,r_lcl,0.0
reference_limits,r_ucl,0.23170443136233404
reference_limits,sigma_within,0.04712155855739895
new_limits,center,19.999089231622072
new_limits,rbar,0.10661966695638299
new_limits,x_lcl,19.937590824987627
new_limits,x_ucl,20.060587638256518
new_limits,r_lcl,0.0
new_limits,r_ucl,0.22539397594579363
new_limits,sigma_within,0.045838205914180134
