Part_ID,Operator,Trial,True_Diameter_mm,Diameter_mm
GRR_P01,O1,1,19.950242407708167,19.94819624376154
GRR_P01,O1,2,19.950242407708167,19.951667834268797
GRR_P01,O1,3,19.950242407708167,19.94155817265735
GRR_P01,O2,1,19.950242407708167,19.948973022723166
GRR_P01,O2,2,19.950242407708167,19.940307702019197
GRR_P01,O2,3,19.950242407708167,19.964015391564057
GRR_P01,O3,1,19.950242407708167,19.951375666112778
GRR_P01,O3,2,19.950242407708167,19.95288825846774
GRR_P01,O3,3,19.950242407708167,19.944973648696124
GRR_P02,O1,1,19.972296169264464,19.97810815349875
GRR_P02,O1,2,19.972296169264464,19.975841773885886
GRR_P02,O1,3,19.972296169264464,19.967321578212562
GRR_P02,O2,1,19.972296169264464,19.973849261601245
GRR_P02,O2,2,19.972296169264464,19.975442638191996
GRR_P02,O2,3,19.972296169264464,19.971907164925067
GRR_P02,O3,1,19.972296169264464,19.97350868245839
GRR_P02,O3,2,19.972296169264464,19.96836682750686
GRR_P02,O3,3,19.972296169264464,19.9779805094288
GRR_P03,O1,1,19.985441311668374,19.978565563071104
GRR_P03,O1,2,19.985441311668374,19.97860965515686
GRR_P03,O1,3,19.985441311668374,19.99373933570199
GRR_P03,O2,1,19.985441311668374,19.98563555548796
GRR_P03,O2,2,19.985441311668374,19.97889798456481
GRR_P03,O2,3,19.985441311668374,19.994371033207635
GRR_P03,O3,1,19.985441311668374,19.9698183635771
GRR_P03,O3,2,19.985441311668374,19.988556340754982
GRR_P03,O3,3,19.985441311668374,19.994295072803517
GRR_P04,O1,1,19.997099172234652,19.993660092480685
GRR_P04,O1,2,19.997099172234652,19.99317337282902
GRR_P04,O1,3,19.997099172234652,19.976694297416653
GRR_P04,O2,1,19.997099172234652,20.007541601719122
GRR_P04,O2,2,19.997099172234652,20.006269512772626
GRR_P04,O2,3,19.997099172234652,19.993723190167657
GRR_P04,O3,1,19.997099172234652,20.013404538212622
GRR_P04,O3,2,19.997099172234652,19.98830704262873
GRR_P04,O3,3,19.997099172234652,19.984664849340916
GRR_P05,O1,1,20.00800678394559,19.989518321786303
GRR_P05,O1,2,20.00800678394559,20.004214551204157
GRR_P05,O1,3,20.00800678394559,20.006709753946765
GRR_P05,O2,1,20.00800678394559,20.017534575233068
GRR_P05,O2,2,20.00800678394559,20.011307904119867
GRR_P05,O2,3,20.00800678394559,20.007505383769303
GRR_P05,O3,1,20.00800678394559,20.015748900601654
GRR_P05,O3,2,20.00800678394559,20.001826100853098
GRR_P05,O3,3,20.00800678394559,19.999328062297753
GRR_P06,O1,1,20.020182010260523,20.027392535600466
GRR_P06,O1,2,20.020182010260523,20.017602582325665
GRR_P06,O1,3,20.020182010260523,20.01995232942365
GRR_P06,O2,1,20.020182010260523,20.03118873589768
GRR_P06,O2,2,20.020182010260523,20.02160763338853
GRR_P06,O2,3,20.020182010260523,20.02191910957251
GRR_P06,O3,1,20.020182010260523,20.026306663725048
GRR_P06,O3,2,20.020182010260523,20.016244800469504
GRR_P06,O3,3,20.020182010260523,20.02387017579208
GRR_P07,O1,1,20.03697670078515,20.032261024361723
GRR_P07,O1,2,20.03697670078515,20.02342252865842
GRR_P07,O1,3,20.03697670078515,20.04070782693661
GRR_P07,O2,1,20.03697670078515,20.03266180518673
GRR_P07,O2,2,20.03697670078515,20.04484040834139
GRR_P07,O2,3,20.03697670078515,20.04351257821791
GRR_P07,O3,1,20.03697670078515,20.048109590523502
GRR_P07,O3,2,20.03697670078515,20.029019698997125
GRR_P07,O3,3,20.03697670078515,20.033631127172644
GRR_P08,O1,1,20.14265783457306,20.137855382214607
GRR_P08,O1,2,20.14265783457306,20.140104611080925
GRR_P08,O1,3,20.14265783457306,20.14560549172296
GRR_P08,O2,1,20.14265783457306,20.151146623210593
GRR_P08,O2,2,20.14265783457306,20.14885671923074
GRR_P08,O2,3,20.14265783457306,20.156884536891887
GRR_P08,O3,1,20.14265783457306,20.160426342914754
GRR_P08,O3,2,20.14265783457306,20.132813634240215
GRR_P08,O3,3,20.14265783457306,20.14361186187987
GRR_P09,O1,1,20.21295395999676,20.215031079164646
GRR_P09,O1,2,20.21295395999676,20.20963990124409
GRR_P09,O1,3,20.21295395999676,20.220431062133166
GRR_P09,O2,1,20.21295395999676,20.216280580679864
GRR_P09,O2,2,20.21295395999676,20.210841930562204
GRR_P09,O2,3,20.21295395999676,20.22591804583582
GRR_P09,O3,1,20.21295395999676,20.19177076271697
GRR_P09,O3,2,20.21295395999676,20.210147889619225
GRR_P09,O3,3,20.21295395999676,20.232882596868855
GRR_P10,O1,1,20.250991844249135,20.247201792961725
GRR_P10,O1,2,20.250991844249135,20.249853958130032
GRR_P10,O1,3,20.250991844249135,20.239378995626087
GRR_P10,O2,1,20.250991844249135,20.256806349367693
GRR_P10,O2,2,20.250991844249135,20.25585425351339
GRR_P10,O2,3,20.250991844249135,20.27185853572153
GRR_P10,O3,1,20.250991844249135,20.243911185508175
GRR_P10,O3,2,20.250991844249135,20.229897735079014
GRR_P10,O3,3,20.250991844249135,20.255245053242263
