Subgroup,Diameter_mm
41,20.409885975393987
41,20.23820066024954
41,20.23076930373975
41,20.2875052408616
41,20.245699850290816
42,20.23113908560413
42,20.206994647182896
42,20.24025538396159
42,20.28245858464897
42,20.312594695757003
43,20.266148530177034
43,20.30470253169348
43,20.295179663297883
43,20.26406203865144
43,20.300078594333065
44,20.30838712841963
44,20.288737353067628
44,20.216135438029575
44,20.327954190311093
44,20.207002485019697
45,20.298766195801207
45,20.33030020612784
45,20.231581490467402
45,20.284468984443443
45,20.284688675048127
46,20.184947818810993
46,20.25103800241472
46,20.242642139066326
46,20.263120262881014
46,20.242956733390397
47,20.240945818083983
47,20.266944809751603
47,20.282262641707938
47,20.31632948324076
47,20.210019862283684
48,20.277596948510727
48,20.317604127609673
48,20.306260611556294
48,20.295395744108944
48,20.317368875835037
49,20.189391298941892
49,20.20937814255881
49,20.28786070952391
49,20.30155879037017
49,20.322844621177115
50,20.255119125386322
50,20.260893288304633
50,20.276378298920473
50,20.2490064297584
50,20.25433617917065
51,20.32479450813025
51,20.185866010146007
51,20.273830024553604
51,20.25633021611538
51,20.2556757733343
52,20.270542304830595
52,20.211661039986552
52,20.32029665687748
52,20.183553648217718
52,20.24775174119741
53,20.26746464458389
53,20.34148274038688
53,20.249375661410017
53,20.276099696772278
53,20.30722267346066
54,20.220654878525128
54,20.276836874129522
54,20.288365154993546
54,20.223815572401765
54,20.233132629074564
55,20.299650589616427
55,20.33545469125322
55,20.262104924658235
55,20.234229607478277
55,20.26369288708703
56,20.257670909432214
56,20.26690583911026
56,20.304714086333593
56,20.225023919149173
56,20.28635141462409
57,20.159706975814178
57,20.34630628309092
57,20.228794277635174
57,20.153928139079625
57,20.245584150464484
58,20.267315229746956
58,20.277677194165857
58,20.237039977721576
58,20.30875192960673
58,20.239198382659357
59,20.280057292286283
59,20.30705603471056
59,20.16902762944529
59,20.253025065087765
59,20.266754662269534
60,20.26063811282536
60,20.27503197826493
60,20.290848512085816
60,20.202531267402726
60,20.210936152738373
